,Longitude,Latitude,Value
403,120.93,22.779999999999998,13.0
404,120.96,22.779999999999998,13.3
405,120.99,22.779999999999998,17.9
406,121.02,22.779999999999998,23.8
407,121.05,22.779999999999998,25.0
408,121.08,22.779999999999998,26.3
409,121.11,22.779999999999998,26.6
410,121.14,22.779999999999998,26.5
411,121.17,22.779999999999998,26.5
412,120.24,22.81,25.2
413,120.27,22.81,25.2
414,120.3,22.81,24.8
415,120.33,22.81,25.2
416,120.36,22.81,25.2
417,120.39,22.81,24.9
418,120.42,22.81,24.2
419,120.45,22.81,24.5
420,120.48,22.81,25.1
421,120.51,22.81,25.2
422,120.54,22.81,25.1
423,120.57,22.81,25.1
424,120.6,22.81,25.0
425,120.63,22.81,25.0
426,120.66,22.81,21.1
427,120.69,22.81,22.4
428,120.72,22.81,16.5
429,120.75,22.81,9.9
430,120.78,22.81,13.4
431,120.81,22.81,14.3
432,120.84,22.81,15.8
433,120.87,22.81,8.9
434,120.9,22.81,10.9
435,120.93,22.81,16.3
436,120.96,22.81,13.9
437,120.99,22.81,18.3
438,121.02,22.81,19.5
439,121.05,22.81,24.7
440,121.08,22.81,25.8
441,121.11,22.81,23.5
442,121.14,22.81,26.4
443,121.17,22.81,25.9
444,120.21,22.84,25.2
445,120.24,22.84,25.2
446,120.27,22.84,25.2
447,120.3,22.84,25.1
448,120.33,22.84,25.2
449,120.36,22.84,25.1
450,120.39,22.84,24.8
451,120.42,22.84,24.7
452,120.45,22.84,24.2
453,120.48,22.84,25.1
454,120.51,22.84,25.0
455,120.54,22.84,25.0
456,120.57,22.84,24.9
457,120.6,22.84,24.9
458,120.63,22.84,25.0
459,120.66,22.84,22.0
460,120.69,22.84,19.6
461,120.72,22.84,19.3
462,120.75,22.84,13.5
463,120.78,22.84,8.2
464,120.81,22.84,12.7
465,120.84,22.84,14.0
466,120.87,22.84,11.4
467,120.9,22.84,16.2
468,120.93,22.84,19.3
469,120.96,22.84,17.7
470,120.99,22.84,16.4
471,121.02,22.84,16.9
472,121.05,22.84,21.1
473,121.08,22.84,24.7
474,121.11,22.84,24.5
475,121.14,22.84,26.2
476,121.17,22.84,25.8
477,120.24,22.869999999999997,25.2
478,120.27,22.869999999999997,25.2
479,120.3,22.869999999999997,25.1
480,120.33,22.869999999999997,25.1
481,120.36,22.869999999999997,25.0
482,120.39,22.869999999999997,25.0
483,120.42,22.869999999999997,24.8
484,120.45,22.869999999999997,24.5
485,120.48,22.869999999999997,25.0
486,120.51,22.869999999999997,24.9
487,120.54,22.869999999999997,25.0
488,120.57,22.869999999999997,25.0
489,120.6,22.869999999999997,24.4
490,120.63,22.869999999999997,24.6
491,120.66,22.869999999999997,24.2
492,120.69,22.869999999999997,22.0
493,120.72,22.869999999999997,17.1
494,120.75,22.869999999999997,16.5
495,120.78,22.869999999999997,13.9
496,120.81,22.869999999999997,13.7
497,120.84,22.869999999999997,9.0
498,120.87,22.869999999999997,9.4
499,120.9,22.869999999999997,12.1
500,120.93,22.869999999999997,16.9
501,120.96,22.869999999999997,22.5
502,120.99,22.869999999999997,19.4
503,121.02,22.869999999999997,23.1
504,121.05,22.869999999999997,24.4
505,121.08,22.869999999999997,21.8
506,121.11,22.869999999999997,25.0
507,121.14,22.869999999999997,25.7
508,121.17,22.869999999999997,22.5
509,121.2,22.869999999999997,25.1
510,121.23,22.869999999999997,26.3
511,120.21,22.9,25.2
512,120.24,22.9,25.1
513,120.27,22.9,24.5
514,120.3,22.9,25.1
515,120.33,22.9,25.0
516,120.36,22.9,25.0
517,120.39,22.9,24.1
518,120.42,22.9,24.8
519,120.45,22.9,24.8
520,120.48,22.9,24.9
521,120.51,22.9,24.4
522,120.54,22.9,25.0
523,120.57,22.9,25.0
524,120.6,22.9,23.8
525,120.63,22.9,24.4
526,120.66,22.9,22.7
527,120.69,22.9,24.1
528,120.72,22.9,21.3
529,120.75,22.9,17.6
530,120.78,22.9,12.4
531,120.81,22.9,15.7
532,120.84,22.9,6.3
533,120.87,22.9,9.1
534,120.9,22.9,9.9
535,120.93,22.9,19.0
536,120.96,22.9,18.2
537,120.99,22.9,15.3
538,121.02,22.9,20.2
539,121.05,22.9,21.7
540,121.08,22.9,24.2
541,121.11,22.9,25.3
542,121.14,22.9,25.5
543,121.17,22.9,23.9
544,121.2,22.9,22.1
545,121.23,22.9,25.7
546,120.18,22.93,25.3
547,120.21,22.93,25.2
548,120.24,22.93,25.1
549,120.27,22.93,25.1
550,120.3,22.93,25.1
551,120.33,22.93,25.0
552,120.36,22.93,24.9
553,120.39,22.93,25.0
554,120.42,22.93,24.3
555,120.45,22.93,24.8
556,120.48,22.93,24.4
557,120.51,22.93,24.7
558,120.54,22.93,24.5
559,120.57,22.93,24.6
560,120.6,22.93,24.5
561,120.63,22.93,23.5
562,120.66,22.93,21.5
563,120.69,22.93,21.6
564,120.72,22.93,22.6
565,120.75,22.93,21.5
566,120.78,22.93,19.8
567,120.81,22.93,9.4
568,120.84,22.93,9.5
569,120.87,22.93,13.5
570,120.9,22.93,16.5
571,120.93,22.93,16.3
572,120.96,22.93,6.8
573,120.99,22.93,12.5
574,121.02,22.93,16.8
575,121.05,22.93,19.6
576,121.08,22.93,20.9
577,121.11,22.93,23.8
578,121.14,22.93,25.0
579,121.17,22.93,25.2
580,121.2,22.93,23.4
581,121.23,22.93,23.9
582,121.26,22.93,26.1
583,120.18,22.96,26.2
584,120.21,22.96,25.3
585,120.24,22.96,25.2
586,120.27,22.96,25.1
587,120.3,22.96,25.1
588,120.33,22.96,25.0
589,120.36,22.96,25.3
590,120.39,22.96,24.7
591,120.42,22.96,24.3
592,120.45,22.96,24.3
593,120.48,22.96,24.5
594,120.51,22.96,24.4
595,120.54,22.96,24.4
596,120.57,22.96,23.8
597,120.6,22.96,23.7
598,120.63,22.96,22.6
599,120.66,22.96,22.2
600,120.69,22.96,19.8
601,120.72,22.96,20.9
602,120.75,22.96,18.5
603,120.78,22.96,17.5
604,120.81,22.96,8.7
605,120.84,22.96,7.5
606,120.87,22.96,13.1
607,120.9,22.96,15.0
608,120.93,22.96,11.7
609,120.96,22.96,5.9
610,120.99,22.96,8.1
611,121.02,22.96,10.5
612,121.05,22.96,15.5
613,121.08,22.96,23.3
614,121.11,22.96,24.2
615,121.14,22.96,24.8
616,121.17,22.96,25.2
617,121.2,22.96,24.6
618,121.23,22.96,23.8
619,121.26,22.96,25.2
620,121.29,22.96,25.8
621,120.18,22.99,25.3
622,120.21,22.99,25.3
623,120.24,22.99,25.2
624,120.27,22.99,25.1
625,120.3,22.99,25.0
626,120.33,22.99,25.0
627,120.36,22.99,24.8
628,120.39,22.99,24.7
629,120.42,22.99,24.8
630,120.45,22.99,24.6
631,120.48,22.99,23.6
632,120.51,22.99,24.2
633,120.54,22.99,24.3
634,120.57,22.99,24.2
635,120.6,22.99,23.4
636,120.63,22.99,22.8
637,120.66,22.99,22.8
638,120.69,22.99,20.3
639,120.72,22.99,15.0
640,120.75,22.99,20.2
641,120.78,22.99,11.2
642,120.81,22.99,8.2
643,120.84,22.99,10.3
644,120.87,22.99,10.5
645,120.9,22.99,12.1
646,120.93,22.99,9.1
647,120.96,22.99,4.6
648,120.99,22.99,4.3
649,121.02,22.99,14.7
650,121.05,22.99,22.2
651,121.08,22.99,19.7
652,121.11,22.99,21.2
653,121.14,22.99,24.7
654,121.17,22.99,25.2
655,121.2,22.99,24.3
656,121.23,22.99,23.8
657,121.26,22.99,25.6
658,121.29,22.99,25.7
659,120.12,23.02,25.3
660,120.15,23.02,25.3
661,120.18,23.02,25.4
662,120.21,23.02,25.3
663,120.24,23.02,25.1
664,120.27,23.02,25.1
665,120.3,23.02,25.0
666,120.33,23.02,24.9
667,120.36,23.02,24.4
668,120.39,23.02,24.3
669,120.42,23.02,24.7
670,120.45,23.02,24.6
671,120.48,23.02,22.7
672,120.51,23.02,22.7
673,120.54,23.02,22.9
674,120.57,23.02,23.4
675,120.6,23.02,19.9
676,120.63,23.02,21.2
677,120.66,23.02,21.8
678,120.69,23.02,18.0
679,120.72,23.02,16.0
680,120.75,23.02,16.8
681,120.78,23.02,17.4
682,120.81,23.02,11.9
683,120.84,23.02,9.8
684,120.87,23.02,4.1
685,120.9,23.02,7.3
686,120.93,23.02,4.0
687,120.96,23.02,4.4
688,120.99,23.02,11.1
689,121.02,23.02,17.2
690,121.05,23.02,17.0
691,121.08,23.02,11.3
692,121.11,23.02,18.7
693,121.14,23.02,23.5
694,121.17,23.02,24.8
695,121.2,23.02,23.2
696,121.23,23.02,21.0
697,121.26,23.02,24.8
698,121.29,23.02,24.5
699,121.32,23.02,24.9
700,120.06,23.049999999999997,25.3
701,120.09,23.049999999999997,25.6
702,120.12,23.049999999999997,25.3
703,120.15,23.049999999999997,25.3
704,120.18,23.049999999999997,25.2
705,120.21,23.049999999999997,25.2
706,120.24,23.049999999999997,25.1
707,120.27,23.049999999999997,25.1
708,120.3,23.049999999999997,25.0
709,120.33,23.049999999999997,24.8
710,120.36,23.049999999999997,24.6
711,120.39,23.049999999999997,24.6
712,120.42,23.049999999999997,24.8
713,120.45,23.049999999999997,24.8
714,120.48,23.049999999999997,24.1
715,120.51,23.049999999999997,20.6
716,120.54,23.049999999999997,22.7
717,120.57,23.049999999999997,22.2
718,120.6,23.049999999999997,21.2
719,120.63,23.049999999999997,19.0
720,120.66,23.049999999999997,22.4
721,120.69,23.049999999999997,18.6
722,120.72,23.049999999999997,16.2
723,120.75,23.049999999999997,15.4
724,120.78,23.049999999999997,18.5
725,120.81,23.049999999999997,14.2
726,120.84,23.049999999999997,6.2
727,120.87,23.049999999999997,-1.9
